rank,prev_rank,name,league,off,def,spi
352,353,Newcastle Jets,Australian A-League,1.39,1.71,39.14
353,330,Atlas,Mexican Primera Division Torneo Clausura,1.14,1.42,39.11
354,345,Akhisar Belediye,Turkish Turkcell Super Lig,1.18,1.47,39.02
355,374,AaB,Danish SAS-Ligaen,1.2,1.49,38.98
356,357,Asteras Tripolis,Greek Super League,0.79,0.99,38.95
357,373,Yokohama F. Marinos,Japanese J League,1.29,1.62,38.6
358,329,FC Dallas,Major League Soccer,1.17,1.48,38.57
359,354,Granada,Spanish Segunda Division,0.82,1.04,38.55
360,326,Albacete,Spanish Segunda Division,0.96,1.23,38.43
361,351,Holstein Kiel,German 2. Bundesliga,1.4,1.77,38.28
362,361,Melbourne Victory,Australian A-League,1.27,1.62,38.26
363,367,Brescia,Italy Serie B,1.24,1.58,38.22
364,372,Neuchatel Xamax,Swiss Raiffeisen Super League,1.18,1.51,38.22
365,399,Sporting Gijón,Spanish Segunda Division,0.88,1.14,38.16
366,355,Ankaragucu,Turkish Turkcell Super Lig,1.06,1.36,38.15
367,360,San Martin de Tucuman,Argentina Primera Division,1.11,1.43,38.12
368,362,C.D. Nacional,Portuguese Liga,1.14,1.47,37.91
369,349,Tianjin Teda,Chinese Super League,1.23,1.58,37.91
370,364,CSA,Brasileiro Série A,1.13,1.47,37.79
371,377,Houston Dynamo,Major League Soccer,1.32,1.71,37.6
372,368,Fortaleza,Brasileiro Série A,1.12,1.47,37.47
373,386,Consadole Sapporo,Japanese J League,1.27,1.65,37.47
374,380,Orlando Pirates,South African ABSA Premier League,0.95,1.26,37.41
375,370,F91 Dudelange,UEFA Europa League,1.35,1.76,37.32
376,365,OFI Crete,Greek Super League,1.05,1.39,37.25
377,407,Haugesund,Norwegian Tippeligaen,1.14,1.51,37.23
378,366,Kilmarnock,Scottish Premiership,0.91,1.23,37.21
379,369,Vissel Kobe,Japanese J League,1.33,1.75,37.13
380,382,Querétaro,Mexican Primera Division Torneo Clausura,1.02,1.38,36.77
381,388,Lamia,Greek Super League,0.89,1.22,36.7
382,384,Gimnasia La Plata,Argentina Primera Division,0.98,1.34,36.67
383,412,St. Pölten,Austrian T-Mobile Bundesliga,1.09,1.49,36.52
384,393,Tianjin Quanujian,Chinese Super League,1.08,1.48,36.47
385,387,Reading,English League Championship,1.08,1.48,36.3
386,392,Real Salt Lake,Major League Soccer,1.21,1.65,36.25
387,378,Chongqing Lifan,Chinese Super League,1.1,1.52,36.11
